,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
8976,Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.28,0,0.13
8977,Mushihimesama Futari Ver 1.5,X360,2009,Shooter,Cave,0,0,0.03,0
8978,Steambot Chronicles,PS2,2005,Role-Playing,505 Games,0.02,0.01,0,0
8979,Miami Nights: Singles in the City,DS,2008,Simulation,Ubisoft,0.08,0,0,0.01
8980,Aeon Flux,XB,2005,Action,THQ,0.01,0,0,0
8981,My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,Black Bean Games,0.14,0.04,0,0.02
8982,The Whispered World,PC,2009,Adventure,Deep Silver,0,0.08,0,0.02
8983,Really? Really! DS,DS,2009,Adventure,Kadokawa Shoten,0,0,0.01,0
8984,Deer Drive,DS,2010,Sports,Mastiff,0.41,0,0,0.02
8985,Transformers: Cybertron Adventures,Wii,2010,Action,Activision,0.15,0.1,0,0.03
8986,Skylanders: SuperChargers,PS4,2015,Action,Activision,0.17,0.08,0,0.05
8987,Penny Racers Party: Turbo-Q Speedway,Wii,2008,Racing,Takara Tomy,0.07,0,0,0.01
8988,Sports Collection,DS,2010,Sports,Ubisoft,0.06,0.01,0,0.01
8989,Victorious: Time to Shine,X360,2011,Action,D3Publisher,0.12,0,0,0.01
8990,Bleach: Shattered Blade,Wii,2006,Fighting,Sega,0.22,0.01,0.08,0.02
8991,Sacred 3,PC,2014,Role-Playing,Deep Silver,0,0.02,0,0
8992,Virtua Fighter CG Portrait Series Vol.1: Sarah Bryant,SAT,1995,Misc,Sega,0,0,0.11M,0
8993,Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010,Misc,Warner Bros. Interactive Entertainment,0.27,0,0,0.02
8994,1/2 Summer +,PSP,2013,Adventure,Kaga Create,0,0,0.01,0
8995,River King: Wonderful Journey,PS2,2005,Sports,505 Games,0.01,0.01,0,0
8996,Fear Factor: Unleashed,GBA,2004,Action,Hip Interactive,0.1,0.04,0,0
8997,WRC: World Rally Championship,PS2,2001,Racing,Sony Computer Entertainment,0.12,0.09,0,0.03
8998,LEGO The Hobbit,PSV,2014,Action,Warner Bros. Interactive Entertainment,0.03,0.13,0,0.05
8999,Wolfenstein,X360,2009,Shooter,Activision,0.28,0.22,0,0.06
9000,Battle Arena Toshinden,PS,1994,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08
9001,Tetris Plus,PS,1996,Puzzle,JVC,2.1,0.24,0,0.07
9002,Bratz: Girlz Really Rock,PS2,2008,Action,THQ,0.11,0.09,0,0.03
9003,Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0
9004,NBA Jam,PS2,2003,Sports,Acclaim Entertainment,0.2,0.16,0,0.05
9005,Poker for Dummies,PC,2008,Misc,Electronic Arts,0,0.01,0,0
9006,Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,2008,Action,Marvelous Interactive,0,0,0.02,0
9007,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,1.47,1.39,0.03,0.43
9008,Blast Lacrosse,PS,2001,Sports,Acclaim Entertainment,0.03,0.02,0,0
9009,Fantastic Pets,X360,2011,Simulation,THQ,0.3,0.08,0,0.03
9010,Two Worlds II,PS3,2011,Role-Playing,Unknown,0.26,0.11,0.06,0.05
9011,Harry Potter and the Order of the Phoenix,Wii,2007,Action,Electronic Arts,0.38,0.06,0,0.04
9012,Block Kuzushi,SNES,1995,Puzzle,Pow,0,0,0.05,0
9013,Lowrider,PS2,2002,Misc,Pacific Century Cyber Works,0.11,0.09,0.03,0.03
9014,UFC Personal Trainer: The Ultimate Fitness System,PS3,2011,Sports,THQ,0.08,0.09,0,0.04
9015,Art Academy: Home Studio,WiiU,2015,Misc,Nintendo,0,0,0.01,0
9017,Shrek Smash n' Crash Racing,PSP,2006,Racing,Activision,0.08,0,0,0.01
9018,Pool Party,Wii,2007,Sports,SouthPeak Games,0.04,0,0,0
9019,SingStar Country,PS2,2008,Misc,Sony Computer Entertainment,0.14,0.11,0,0.04
9020,Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts,290K,0,0,0.02
9021,Suzumiya Haruhi no Yakusoku,PSP,2007,Adventure,Namco Bandai Games,0,0,0.15,0
9022,Code Geass: Hangyaku no Lelouch - Lost Colors,PSP,2008,Adventure,Namco Bandai Games,0,0,0.07,0
9023,Ookami Kakushi,PSP,2009,Action,Konami Digital Entertainment,0,0,0.04,0
9024,LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.05,0.07,0,0.01
9025,Star Wars: Jedi Starfighter,PS2,2002,Simulation,Activision,0.24,0.19,0,0.06
9026,Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,X360,2009,Role-Playing,Bethesda Softworks,0.09,0.01,0,0.01
9027,Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0,0.04
9028,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.43,0.16,0,0.01
9029,Skylanders: Trap Team,WiiU,2014,Action,Activision,0.39,0.25,0,0.06
9030,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0,0.03
9031,Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12
9032,Theme Park,DS,2007,Simulation,Electronic Arts,0,0.03,0.03,0
9033,Spider-Man: Edge of Time,X360,2011,Action,Activision,0.18,0.05,0,0.02
9034,Just In Time Translations,DS,2009,Misc,THQ,0.1,0,0,0.01
9035,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01
9036,Smart Bomb,PSP,2005,Puzzle,Eidos Interactive,0.07,0,0,0.01
9037,Hot Wheels Velocity X,GC,2002,Racing,THQ,0.09,0.02,0,0
9038,Army Men 3D,PS,1999,Action,3DO,1.1,0.14,0,0.04
9039,Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.02,0.05,0,0.01
9040,World Tour Soccer 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.06,0,0.02
9041,Gaist Crusher God,3DS,2014,Action,Capcom,0,0,0.02,0
9042,We Sing Robbie Williams,Wii,2010,Misc,Nordic Games,0,0.19,0,0.03
9043,NFL Quarterback Club 97,PS,1996,Sports,Acclaim Entertainment,0.12,0.08,0,0.01
9044,MLB Power Pros,PS2,2007,Sports,Konami Digital Entertainment,0,0,0.11,0
9045,inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.76,0.69,0.12,0.37
9046,Petz: Horsez 2,Wii,2007,Simulation,Ubisoft,0.39,0,0,0.03
9047,My First Songs,Wii,2010,Misc,Mindscape,0,0.07,0,0.01
9048,Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.63,0.69,0,0.21
9049,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0,0.13
9050,Myst,PSP,2006,Adventure,Midway Games,0,0.01,0,0
9051,NCAA Football 14,X360,2013,Sports,Electronic Arts,1.01,0,0,0.06
9052,The Legend of Heroes: Trails of Cold Steel,PS3,2013,Role-Playing,Nippon Ichi Software,0.05,0.04,0.12,0.02
9053,Kinectimals: Now with Bears!,X360,2011,Misc,Microsoft Game Studios,0.27,0.06,0,0.03
9054,Wicked Monster Blast!,Wii,2011,Shooter,PQube,0.04,0,0,0
9055,Great Party Games,Wii,2010,Misc,O-Games,0,0.08,0,0.01
9056,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011,Adventure,Alchemist,0,0,0.03,0
9057,Jewels of the Tropical Lost Island,DS,2010,Puzzle,Storm City Games,0.11,0.1,0,0.02
9058,Dynasty Warriors 4,XB,2003,Action,Tecmo Koei,0.12,0.03,0,0.01
9059,Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,0
9060,The Cube,Wii,2012,Action,Funbox Media,0,0.04,0,0
9061,Space Camp,DS,2009,Action,Activision,0.14,0,0,0.01
9062,Live A Live,SNES,1994,Role-Playing,SquareSoft,0,0,0.32,0
9063,Wangan Midnight Portable,PSP,2007,Racing,Genki,0,0,0.02,0
9064,Indiana Jones and the Staff of Kings,DS,2009,Action,Activision,0.17,0.07,0,0.02
9065,Thrasher Presents: Skate and Destroy,PS,1998,Sports,Take-Two Interactive,0.22,0.15,0,0.03
9066,ZooCube,GC,2002,Puzzle,Acclaim Entertainment,0.02,0,0,0
9067,Imagine: Babysitters,DS,2008,Simulation,Ubisoft,0.63,0.36,0,0.1
9068,Ice Age,GBA,2002,Action,Ubisoft,0.27,0.1,0,0.01
9069,Song of the Deep,XOne,2016,Action,Insomniac Games,0.03,0,0,0
9070,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31
9071,Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04
9072,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03
9073,Sunrise Eiyuutan R,PS2,2000,Role-Playing,Sunrise Interactive,0,0,0.06,0
9074,Zoboomafoo: Leapin' Lemurs!,PS,2001,Action,Encore,0.02,0.01,0,0
9075,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9
9076,Langrisser: Re:Incarnation Tensei,3DS,2015,Role-Playing,Extreme Entertainment Group,0.02,0,0.01,0
9077,PowerUp Heroes,X360,2011,Fighting,Ubisoft,0.18,0.1,0,0.03
9078,The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,Universal Interactive,0.31,0.19,0,0.03
9079,PC Engine Best Collention: Ginga Ojousama Densetsu Collection,PSP,2008,Adventure,Hudson Soft,0,0,0.01,0
9081,Digimon Adventure: Anode Tamer,WS,1999,Role-Playing,Namco Bandai Games,0,0,0.28,0
9083,Yokai Sangokushi,3DS,2016,Action,Level 5,0,0,0.55,0
9084,Need for Speed: V-Rally,PS,1997,Racing,Infogrames,0.43,0.29,0.09,0.06
9085,World Championship Poker featuring Howard Lederer: All In,Wii,2006,Misc,505 Games,0.02,0,0,0
9086,Summon Night 6: Lost Borders,PS4,2016,Action,Namco Bandai Games,0,0,0.03,0
9087,Barbie and Her Sisters Puppy Rescue,WiiU,2015,Action,Namco Bandai Games,0,0.01,0,0
9088,Kamigami no Asobi,PSP,2013,Adventure,Broccoli,0,0,0.03,0
9089,SoulCalibur II,GC,2003,Fighting,Namco Bandai Games,0.99,0.32,0.11,0.08
9090,Ford Racing 3,DS,2005,Racing,Zoo Digital Publishing,0.09,0,0,0.01
9091,Tom Clancy's Splinter Cell Classic Trilogy HD,PS3,2011,Action,Ubisoft,0.02,0,0,0K
9092,Zumba Fitness: World Party,XOne,2013,Misc,Majesco Entertainment,0.17,0.05,0,0.02
9093,Bunmei Kaika: Aoiza Ibunroku Saien,PSP,2012,Action,FuRyu,0,0,0.01,0
9094,Criminal Girls: Invite Only,PSP,2010,Role-Playing,Nippon Ichi Software,0,0,0.08,0
9095,Hankou Shashin,SAT,1996,Adventure,Imagineer,0,0,0.03,0
9096,Challenge Me: Maths Workout,DS,2009,Puzzle,Oxygen Interactive,0.04,0,0,0
9097,Ecco the Dolphin,GEN,1992,Adventure,Sega,0,0,0.12,0
9098,Ikki Tousen: Shining Dragon,PS2,2007,Role-Playing,Marvelous Interactive,0,0M,0.02,0
9099,Atelier Totori: The Adventurer of Arland,PS3,2010,Role-Playing,Nippon Ichi Software,0.12,0.07,0.21,0.03
9100,Zoobles! Spring to Life!,DS,2011,Misc,Activision,0.1,0.02,0,0.01
9101,F1 2001,PS2,2001,Racing,Electronic Arts,0.07,0.06,0,0.02
9102,Dynasty Warriors 8: Xtreme Legends,PS3,2013,Action,Tecmo Koei,0.02,0.03,0.11,0.01
9103,100 Classic Books,DS,2008,Misc,Nintendo,0.13,0.52,0,0.02
9104,Karaoke Revolution Party,GC,2005,Misc,Konami Digital Entertainment,0.05,0.01,0,0
9105,Sengoku Basara X,PS2,2008,Fighting,Capcom,0,0,0.05,0
9106,Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games,0,0,0.38,0
9107,SoulCalibur Legends (JP sales),Wii,2007,Action,Namco Bandai Games,0,0,0.01,0
9108,Bomberman B-Daman,SNES,1996,Shooter,Hudson Soft,0,0,0.17,0
9109,Demon Attack,2600,1981,Shooter,Imagic,1.99,0.12,0,0.02
9110,GoGo's Crazy Bones,DS,2012,Action,GameMill Entertainment,0,0.04,0,0
9111,007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0,0.03
9112,NBA 2K12,PC,2011,Sports,Take-Two Interactive,0.09,0.05,0,0.02
9113,Jikkyou Powerful Pro Yakyuu 12 Ketteiban,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.11,0
9114,Resident Evil 4 HD,XOne,2016,Shooter,Capcom,0.01,0,0,0
9115,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006,Role-Playing,Tecmo Koei,0,0,90K,0
9116,The Secret Saturdays: Beasts of the 5th Sun,PSP,2009,Action,D3Publisher,0.08,0,0,0.01
9117,Pachitte Chonmage Tatsujin 10: Pachinko Fuyu no Sonata,PS2,2007,Misc,Hackberry,0,0,0.09,0
9118,Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai Games,0,0,0.28,0
9119,Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,100K,0,0.03
9120,Def Jam Rapstar,X360,2010,Misc,Konami Digital Entertainment,0.25,0.03,0,0.02
9121,Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.03
9122,Crash of the Titans,PS2,2007,Action,Vivendi Games,0.34,0.01,0,0.06
9123,Tetris DX,GB,1998,Puzzle,Nintendo,1.06,0.6,0.2,0.07
9124,Final Fantasy XII: Revenant Wings,DS,2007,Role-Playing,Square Enix,0.34,0.42,0.54,0.1
9125,Vanishing Point,PS,2001,Racing,Acclaim Entertainment,0.06,0.04,0,0.01
9126,Atomic Betty,GBA,2005,Puzzle,Atari,0.02,0.01,0,0
9127,Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0,0.15
9128,The Fairly Odd Parents: Game Boy Advance Video Volume 1,GBA,2004,Misc,Unknown,0.31,0.11,0,0.01
9129,Discovery Kids: Pony Paradise,DS,2009,Simulation,505 Games,0.19,0,0,0.01
9130,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,DS,2005,Adventure,Activision,0.05,0,0,0
9131,Sol Trigger,PSP,2012,Role-Playing,Image Epoch,0,0,0.1,0
9132,Scooby-Doo! Mystery Mayhem,GC,2004,Action,THQ,0.17,0.04,0,0.01
9133,Ebikore Photo Kano Kiss,PSV,2015,Action,Kadokawa Games,0,0,0.03,0
9134,Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,DS,2008,Simulation,Broccoli,0,0,0.03M,0
9135,The Amazing Spider-Man (Console Version),PS3,2012,Action,Activision,0.31,0.37,0,0.14
9136,Chaos Rings III,PSV,2014,Role-Playing,Square Enix,0,0,0.06,0
9137,MX vs. ATV Unleashed: On the Edge,PSP,2006,Racing,THQ,0.64,0,0,0.05
9138,"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,2006,Adventure,Marvelous Interactive,0,0,0.04,0
9139,Gem Smashers,3DS,2011,Platform,Crave Entertainment,0.04,0,0,0
9140,F1 2014,PS3,2014,Racing,Codemasters,0.07,0.31,0.02,0.08
9141,Go Play: Lumberjacks,Wii,2009,Simulation,Majesco Entertainment,0.18,0,0,0.01
9142,SBK Superbike World Championship,PSP,2008,Racing,Black Bean Games,0.01,0,0,0
9143,Tiger Woods PGA Tour 2005,XB,2004,Sports,Electronic Arts,0.64,0.18,0,0.03
9144,Rugby League Team Manager 2015,PC,2015,Action,Alternative Software,0,0.02,0,0
9145,Shellshock,PS,1995,Action,Core Design Ltd.,0.06,0.04,0,0.01
9146,Venetica,X360,2010,Role-Playing,DTP Entertainment,0.09,0.03,0,0.01
9147,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28
9148,Mario Golf,GB,1999,Action,Nintendo,0,0,0.31,0
9149,Stuart Little 3: Big Photo Adventure,PS2,2005,Platform,Sony Computer Entertainment,0.04,0.03,0,0.01
9150,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,0.53,0,0,0.04
9151,Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,0,0.11,0,0.03
9152,Battlestations: Pacific,PC,2009,Strategy,Eidos Interactive,0,0.02,0,0
9153,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3
9154,Naval Ops: Warship Gunner,PS2,2003,Simulation,Tecmo Koei,0.05,0.04,0,0.01
9155,Lucha Libre AAA: Heroes del Ring,X360,2010,Fighting,Konami Digital Entertainment,0.05,0,0,0
9156,"Renai Banchou: Inochi Meishi, Koiseyo Otome! Love is Power!!!",PSP,2010,Adventure,Idea Factory,0,0,0.02,0
9157,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,0.24,0.05,0.26,30K
9158,Bratz: Forever Diamondz,PS2,2006,Adventure,THQ,0.01,0.01,0,0
9159,WSC REAL 09: World Snooker Championship,X360,2009,Sports,Deep Silver,0,0.01,0,0
9160,Winning Post 7 2010,PS3,2010,Sports,Tecmo Koei,0,0,0.07,0
9161,FIFA 16,PC,2015,Sports,Electronic Arts,0.04,0.13,0,0.01
9162,Hatsune Miku: Project Diva f,PSV,2012,Misc,Sega,0,0,0.23,0
9163,Buzz! The Hollywood Quiz,PS2,2007,Misc,Sony Computer Entertainment,0.17,0,0,0.61
9164,Hyakka Hyakurou: Sengoku Ninpoujou,PSV,2016,Adventure,D3Publisher,0,0,0.02,0
9165,Ultimate Brain Games,GBA,2003,Misc,Telegames,0.06,0.02,0,0
9166,Backyard Hockey,GBA,2003,Sports,Atari,0.14,0.05,0,0
9167,Natsuzora no Monologue,PSP,2013,Adventure,Otomate,0,0,0.01,0
9168,Dance Dance Revolution: Hottest Party 5,Wii,2011,Misc,Konami Digital Entertainment,0,0.03,0,0
9169,Dora's Cooking Club,DS,2010,Misc,Take-Two Interactive,0.08,0.01,0,0.01
9170,Sonic Advance 2,GBA,2002,Platform,Sega,0.93,0.59,0.21,0.07
9171,Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,2006,Sports,Sega,0,0,0.01,0
9172,Ninja Gaiden 3,WiiU,2012,Action,Nintendo,0.15,0.03,0,0.02
9173,Resident Evil: Revelations,X360,2013,Action,Capcom,0.12,0.11,0.02,0.02
9174,XIII,GC,2003,Shooter,Ubisoft,0.07,0.02,0,0
9175,Bleach: The Blade of Fate,DS,2006,Fighting,Sega,0.3,0.01,0.12,0.03
9176,Nova Usagi no Game de Ryuugaku!? DS,DS,2007,Misc,Konami Digital Entertainment,0,0,0.01,0
9177,Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,Nintendo,0,0,0.39,0
9178,Escape The Museum,DS,2010,Adventure,Astragon,0.05,0.12,0,0.02
9179,Tycoon City: New York,PC,2006,Strategy,Atari,0,0.02,0,0
9180,Pinball Hall of Fame: The Gottlieb Collection,XB,2004,Misc,Crave Entertainment,0.06,0.02M,0,0
9181,F1 2009,PSP,2009,Racing,Codemasters,0.08,0.29,0,0.16
9182,Slayers Royal,PS,1998,Role-Playing,Kadokawa Shoten,0,0,0.08,0.01
9183,The Sims 2,PSP,2005,Simulation,Electronic Arts,0.49,0.56,0,0.33
9185,Karaoke Joysound Wii Super DX: Hitori de Minna de Utai Houdai!,Wii,2010,Misc,Hudson Soft,0,0,0.09,0
9186,Big League Sports,X360,2011,Sports,Activision,0.18,0.02,0,0.01
9187,The King of Fighters 2006,PS2,2006,Fighting,Ignition Entertainment,0.01,0.01,0.05,0
9188,Winx Club: Mission Enchantix,DS,2008,Adventure,Konami Digital Entertainment,0.03,0.02,0,0
9189,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04
9190,Cruis'n,Wii,2007,Racing,Midway Games,0.1,0.01,0,0.01
9191,Dynasty Warriors 6,X360,2007,Action,Tecmo Koei,0.15,0.06,0.06,0.02
9192,Sacred 3,X360,2014,Role-Playing,Deep Silver,0.03,0.03,0,0.01
9193,FairlyLife: MiracleDays,PSP,2010,Adventure,Piacci,0,0,10K,0
9194,Kenka Bancho Bros: Tokyo Battle Royale,PSP,2012,Action,Spike,0,0,0.1,0K
9195,My Spanish Coach,PSP,2008,Misc,Ubisoft,0.12,0,0,0.01
9196,Major League Baseball Featuring Ken Griffey Jr,N64,1998,Sports,Nintendo,0.75,0.03,0,0.01
9197,Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,1996,Misc,ASK,0,0,0.03,0
9198,Family Fun Football,Wii,2009,Sports,Tecmo Koei,0.1,0,0,0.01
9199,Deathrow: Underground Team Combat,XB,2002,Sports,Ubisoft,0.05,0.01,0,0
9200,Halo Wars,X360,2009,Strategy,Microsoft Game Studios,1.53,0.82,0.04,0.24
9201,Final Fantasy VI,PS,1999,Role-Playing,Sony Computer Entertainment,0,0,0.08,0.01
9202,Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts,0.49,0.02,0,0.04
9203,Rally Cross 2,PS,1998,Racing,989 Studios,0.19,0.13,0,0.02
9204,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.52,0.37,0,0.08
9205,Edna & Harvey: Harvey's New Eyes,PC,2011,Adventure,Rondomedia,0,0.07,0,0.01
9206,RPG Tsukuru DS,DS,2010,Role-Playing,Enterbrain,0,0,0.05,0
9207,FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,0.2,0.01,0,0.02M
9208,Jikkyou Powerful Pro Yakyuu 12,PS2,2005,Sports,Konami Digital Entertainment,0,0,0.45,0
9209,Casper: Spirit Dimensions,PS2,2001,Platform,TDK Mediactive,0.07,50K,0,0.02
9210,Need for Speed: The Run,X360,2011,Action,Electronic Arts,0.63,0.58,0,0.15
9211,Spectrobes: Beyond the Portals,DS,2008,Role-Playing,Disney Interactive Studios,0.37,0.11,0,0.04
9212,Canimal Triple,PSV,2014,Misc,Warner Bros. Interactive Entertainment,0,0.02,0M,0
9213,Bayonetta,X360,2009,Action,Sega,0.51,0.26,0.09,0.08
9214,Far Cry,PC,2004,Shooter,Ubisoft,0,0.04,0,0.01
9215,K-1 World Grand Prix,PS2,2002,Sports,Konami Digital Entertainment,0.04,0.03,0.1,0.01
9216,WRC 5: FIA World Rally Championship,PS3,2015,Sports,Bigben Interactive,0.02,0.09,0,0.02
9217,Rocket: Robot on Wheels,N64,1999,Platform,Ubisoft,0.1,0.02,0,0
9218,Bio FREAKS,PS,1998,Action,GT Interactive,0.07,0.05,0,0.01
9219,Battle Spirits: Digital Starter,DS,2010,Role-Playing,Namco Bandai Games,0,0,0.04,0
9220,Star Wars Episode I: The Phantom Menace,PS,1999,Adventure,LucasArts,0.72,0.89,0.04,0.1
9221,F.E.A.R.,X360,2006,Shooter,Vivendi Games,0.28,0.03,0,0.03
9222,Zumba Fitness,PS3,2010,Sports,505 Games,0.28,0.21,0,0.09
9223,Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,0.07,0.05,0,0.02
9224,Donkey Konga,GC,2003,Misc,Nintendo,0.5,0.16,0.46,0.03
9225,Petz: Horse Club,Wii,2008,Misc,Ubisoft,0.2,0,0,0.02
9226,Bridge,2600,1980,Misc,Activision,0.25,0.02,0,0
9227,Hysteria Hospital: Emergency Ward,Wii,2009,Action,Oxygen Interactive,0.05,0,0,0
9228,Cars 2,PS3,2011,Racing,Disney Interactive Studios,0.22,0.23,0,0.09
9229,Brothers: A Tale of Two Sons,XOne,2015,Adventure,505 Games,0.03,0.01,0,0
9230,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78
9231,Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,0.04,0,0.02,0
9232,Romance of the Three Kingdoms IV: Wall of Fire,PS,1995,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01
9233,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.3,0.23,0,0.08
9234,Goosebumps: The Game,3DS,2015,Adventure,WayForward Technologies,0.05,0,0,0.01
9235,Rock Band 2,Wii,2008,Misc,MTV Games,0.94,0.01,0,0.08
9236,SSX,PS2,2000,Sports,Electronic Arts,0.78,0.61,0.06,0.2
9237,Tenchu: Dark Secret,DS,2006,Action,From Software,0.03,0,0.01,0
9238,Zwei!!,PSP,2008,Role-Playing,Falcom Corporation,0,0,0.02,0
9239,Family Guy: Back to the Multiverse,PS3,2012,Action,Activision,0.12,0.12,0,0.05
9241,Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive,0.19,0.15,0,0.05
9242,NASCAR: Dirt to Daytona,GC,2002,Racing,Infogrames,0.07,0.02,0,0
9243,Command & Conquer: The First Decade,PC,2006,Strategy,Electronic Arts,0.01,0.01,0,0
9244,Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,30K
9245,PDC World Championship Darts: Pro Tour,PS3,2010,Sports,O-Games,0,0.09,0,0.03
9246,Homie Rollerz,DS,2008,Racing,Destineer,0.07,0,0,0.01
9247,Whacked!,XB,2002,Misc,Microsoft Game Studios,0.07,0.02,0,0
9248,TMNT: Mutant Melee,GC,2005,Fighting,Konami Digital Entertainment,0.06,0.01,0,0
9249,Monopoly,Wii,2008,Misc,Electronic Arts,0.87,0.85,0,0.2
9250,Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0,0.03
9251,Midnight Club: LA Remix,PSP,2008,Racing,Take-Two Interactive,0.52,0.28,0,0.19
9252,Mystic Heroes,GC,2002,Action,Tecmo Koei,0.03,0.01,0.04,0
9253,Metal Saga,PS2,2005,Role-Playing,Success,0.01,0.01,0,0
9254,Damnation,X360,2009,Shooter,Codemasters,0.06,0.01,0,0.01
9255,Electroplankton,DS,2005,Misc,Nintendo,0.01,0,0.02,0
9256,Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),PSP,2006,Action,Konami Digital Entertainment,0,0,0.01,0
9257,ESPN MLS ExtraTime 2002,GC,2002,Sports,Konami Digital Entertainment,20K,0,0,0
9258,Mario Party 2,N64,1999,Misc,Nintendo,1.28,0.14,1.08,0.01
9259,Rayman Raving Rabbids 2,Wii,2007,Misc,Ubisoft,0.83,0.82,0,0.2
9260,Major League Baseball 2K8 Fantasy All-Stars,DS,2008,Sports,Take-Two Interactive,0.11,0,0,0.01
9261,Kikou Heidan J-Phoenix 2,PS2,2003,Action,Takara,0,0,40K,0
9262,X3: Terran War Pack,PC,2012,Misc,Deep Silver,0,0.02,0,0
9263,Just Cause,X360,2006,Action,Eidos Interactive,0.1,0.03,0.01,0.01
9264,Wappy Dog,DS,2011,Simulation,Activision,0.27,0,0,0.02
9265,Harry Potter and the Order of the Phoenix,X360,2007,Action,Electronic Arts,0.24,0.04,0,0.02
9266,Paperboy,N64,1999,Action,Midway Games,0.19,0.05,0,0
9267,Cabela's Big Game Hunter,GBA,2002,Sports,Activision Value,0.07,0.02,0,0
9268,WipEout Fusion,PS2,2002,Racing,Sony Computer Entertainment,0.12,0.1,0,0.03
9269,Rango: The Video Game,PS3,2011,Action,Electronic Arts,0.07,0.09,0,0.04
9270,River City Ransom EX,GBA,2004,Action,Atlus,0.05,0.02,0,0
9271,FIFA 2000,PS,1998,Sports,Electronic Arts,0.22,1.47,0.04,0.14
